Season,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
2021,"Caleb Thielbar","MIN",0.2974683544303797,0.64556962,0.192546583,0.316770186,0.490683229,0.11392405,0.101265822,27,3.7968754526228254,369,737,1106,0.44578313,0.30722892,0.24698795,0.1686747,0.5,0.3313253,"Caleb Thielbar",10078,573204
2023,"Tucker Davidson","- - -",0.35802469135802467,1.384615384,0.239263803,0.441717791,0.319018404,0.096153846,0.115384615,31,5.435065877479978,302,545,847,0.40361446,0.3373494,0.25903614,0.13253012,0.53614458,0.3313253,"Tucker Davidson",19871,656353
2021,"Zack Littell","SFG",0.25,1.25,0.15625,0.46875,0.375,0.05,0.116666666,25,3.6486494762347297,348,645,993,0.39877301,0.33742331,0.26380368,0.09815951,0.57055215,0.33128834,"Zack Littell",15823,641793
2023,"Colin Holderman","PIT",0.3269230769230769,1.826086956,0.182389937,0.528301886,0.289308176,0.130434782,0.086956521,18,2.8928575369777048,343,588,931,0.3875,0.4,0.2125,0.16875,0.5,0.33125,"Colin Holderman",22361,670059
2022,"Carlos Estévez","COL",0.24666666666666667,0.811594202,0.193548387,0.361290322,0.44516129,0.072463768,0.101449275,23,3.6315794334517943,384,637,1021,0.36305732,0.33121019,0.30573248,0.1656051,0.50318471,0.33121019,"Carlos Estevez",14542,608032
2023,"Javier Assad","CHC",0.2684563758389262,1.358490566,0.185667752,0.469055374,0.345276872,0.141509433,0.122641509,51,4.198171073485555,674,1038,1712,0.33440514,0.38263666,0.2829582,0.18006431,0.48874598,0.33118971,"Javier Assad",21741,665871
2023,"Cristian Javier","HOU",0.271889400921659,0.460629921,0.188183807,0.256017505,0.555798687,0.106299212,0.098425196,105,5.833333333333333,1104,1782,2886,0.36819172,0.36601307,0.26579521,0.1503268,0.51851852,0.33115468,"Cristian Javier",17606,664299
2021,"Zach Plesac","CLE",0.2626728110599078,1.184971098,0.165562913,0.452538631,0.381898454,0.080924855,0.132947976,79,4.983645215160706,748,1457,2205,0.43201754,0.37061404,0.19736842,0.12061404,0.54824561,0.33114035,"Zach Plesac",19979,668676
2021,"Chris Martin","ATL",0.3333333333333333,1.595238095,0.204379562,0.489051094,0.306569343,0,0.095238095,11,2.284615652772833,200,464,664,0.38848921,0.38848921,0.22302158,0.10071942,0.56834532,0.33093525,"Chris Martin",11847,455119
2021,"Pierce Johnson","SDP",0.3082706766917293,0.783333333,0.224637681,0.34057971,0.434782608,0.116666666,0.1,36,5.522727871236787,381,664,1045,0.36690647,0.38848921,0.24460432,0.15107914,0.51798561,0.33093525,"Pierce Johnson",13435,572955
2024,"Anthony Banda","LAD",0.291044776119403,1.2,0.185185185,0.444444444,0.37037037,0.12,0.1,27,4.892618451750778,264,510,774,0.36690647,0.35251799,0.28057554,0.18705036,0.48201439,0.33093525,"Anthony Banda",14706,607455
2023,"Chasen Shreve","- - -",0.30952380952380953,1.224489795,0.174242424,0.454545454,0.371212121,0.122448979,0.142857142,20,4.029851577998601,268,485,753,0.45112782,0.32330827,0.22556391,0.14285714,0.52631579,0.33082707,"Chasen Shreve",10855,592741
2022,"Josh Fleming","TBR",0.4016393442622951,3.375,0.173228346,0.637795275,0.188976377,0.041666666,0.208333333,11,2.828571659788812,227,435,662,0.39370079,0.34645669,0.25984252,0.15748031,0.51181102,0.33070866,"Josh Fleming",20418,676596
2023,"Taylor Rogers","SFG",0.2796610169491525,1,0.166666666,0.416666666,0.416666666,0.12,0.12,32,5.5741950574356975,296,540,836,0.41129032,0.37903226,0.20967742,0.2016129,0.46774194,0.33064516,"Taylor Rogers",13449,573124
2024,"Jacob Latz","TEX",0.2796610169491525,0.785714285,0.180327868,0.360655737,0.459016393,0.142857142,0.107142857,12,2.473283234985456,316,499,815,0.31451613,0.41129032,0.27419355,0.20967742,0.45967742,0.33064516,"Jacob Latz",21306,656641
2021,"Carlos Hernández","KCR",0.2672413793103448,0.979166666,0.201680672,0.394957983,0.403361344,0.083333333,0.072916666,47,4.9377434471828305,561,873,1434,0.38493724,0.33891213,0.27615063,0.17154812,0.49790795,0.33054393,"Carlos Hernandez",22713,672578
2022,"Matt Barnes","BOS",0.29310344827586204,1.127659574,0.145299145,0.452991452,0.401709401,0.042553191,0.042553191,7,1.5882355486822608,273,420,693,0.33050847,0.44915254,0.22033898,0.15254237,0.51694915,0.33050847,"Matt Barnes",12863,598264
2024,"Brent Honeywell","- - -",0.25217391304347825,1.139534883,0.206896551,0.422413793,0.370689655,0.023255813,0.069767441,8,1.9115045054403872,217,378,595,0.34745763,0.38135593,0.27118644,0.1440678,0.52542373,0.33050847,"Brent Honeywell",16466,641703
2024,"Garrett Crochet","CHW",0.3181818181818182,1.248,0.187861271,0.450867052,0.361271676,0.104,0.144,50,3.0821917808219177,773,1622,2395,0.39367816,0.34770115,0.25862069,0.17528736,0.49425287,0.33045977,"Garrett Crochet",27463,676979
2021,"Joakim Soria","- - -",0.33,0.772727272,0.257142857,0.323809523,0.419047619,0.045454545,0.136363636,6,1.4464286576424377,202,403,605,0.45283019,0.32075472,0.22641509,0.1509434,0.51886792,0.33018868,"Joakim Soria",6941,465657
2024,"Tylor Megill","NYM",0.3069306930693069,1.037037037,0.210526315,0.401913875,0.387559808,0.111111111,0.098765432,46,5.3076923076923075,496,871,1367,0.36842105,0.36842105,0.26315789,0.19138756,0.4784689,0.33014354,"Tylor Megill",21318,656731
2021,"Enyel De Los Santos","- - -",0.3684210526315789,0.948717948,0.224489795,0.37755102,0.397959183,0.23076923,0.205128205,23,5.858491567497791,233,464,697,0.38834951,0.36893204,0.24271845,0.21359223,0.45631068,0.33009709,"Enyel De Los Santos",18403,660853
2024,"Steven Wilson","CHW",0.22826086956521738,0.418181818,0.195876288,0.237113402,0.567010309,0.145454545,0.145454545,16,4.153847372743862,244,379,623,0.48,0.25,0.27,0.28,0.39,0.33,"Steven Wilson",20353,621051
2024,"Jordan Leasure","CHW",0.2857142857142857,0.772727272,0.178947368,0.357894736,0.463157894,0.136363636,0.136363636,9,2.5851068026127595,213,347,560,0.40206186,0.28865979,0.30927835,0.20618557,0.46391753,0.32989691,"Jordan Leasure",29950,673929
2024,"Miles Mikolas","STL",0.30996309963099633,1.150485436,0.215929203,0.419469026,0.364601769,0.116504854,0.126213592,84,4.4038837561084785,844,1861,2705,0.40564374,0.35097002,0.24338624,0.15167549,0.51851852,0.329806,"Miles Mikolas",9803,571945
2021,"Martín Pérez","BOS",0.33620689655172414,1.33898305,0.23756906,0.436464088,0.32596685,0.076271186,0.161016949,63,4.973684626603095,667,1193,1860,0.45776567,0.32152589,0.22070845,0.18256131,0.48773842,0.32970027,"Martin Perez",6902,527048
2022,"Kyle Finnegan","WSN",0.2694610778443114,1.527272727,0.201149425,0.48275862,0.316091954,0.127272727,0.163636363,29,3.915000597381683,364,689,1053,0.38636364,0.32954545,0.28409091,0.15340909,0.51704545,0.32954545,"Kyle Finnegan",15009,640448
2024,"Carlos Hernández","KCR",0.27380952380952384,0.574468085,0.129411764,0.317647058,0.552941176,0.063829787,0.021276595,1,0.3000000572204699,204,356,560,0.45882353,0.37647059,0.16470588,0.15294118,0.51764706,0.32941176,"Carlos Hernandez",22713,672578
2023,"Carlos Estévez","LAA",0.34375,0.653846153,0.222891566,0.307228915,0.469879518,0.153846153,0.089743589,14,2.0213905392725766,378,750,1128,0.33532934,0.34131737,0.32335329,0.20958084,0.46107784,0.32934132,"Carlos Estevez",14542,608032
2021,"Tyler Chatwood","- - -",0.3,2.411764705,0.292682926,0.5,0.207317073,0.058823529,0.117647058,16,4.500000804662848,253,338,591,0.43902439,0.37804878,0.18292683,0.13414634,0.53658537,0.32926829,"Tyler Chatwood",4338,543022
2022,"Jesús Luzardo","MIA",0.2532188841201717,1.114942528,0.239669421,0.400826446,0.359504132,0.068965517,0.114942528,34,3.049834041650413,607,1037,1644,0.45679012,0.34156379,0.20164609,0.16049383,0.51028807,0.32921811,"Jesus Luzardo",19959,666200
2022,"Glenn Otto","TEX",0.2552083333333333,1.154362416,0.195488721,0.431077694,0.373433583,0.140939597,0.140939597,73,4.842752205869948,870,1359,2229,0.46039604,0.31188119,0.22772277,0.14851485,0.52227723,0.32920792,"Glenn Otto",21366,657248
