Season,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
2024,"Evan Phillips","LAD",54.2,0.27380952,0.63380282,0.46892039,0.47826087,0.84444444,0.74651163,0.54198473,18.44541485,"Evan Phillips",17734,623465
2024,"Cal Quantrill","COL",148.1,0.23059533,0.68161094,0.45516459,0.62091503,0.87513935,0.81047382,0.49791903,18.44129555,"Cal Quantrill",19312,615698
2023,"Luke Weaver","- - -",123.2,0.24522901,0.6661157,0.47077059,0.64202335,0.85483871,0.80338664,0.53587245,18.43988095,"Luke Weaver",16918,596133
2023,"Josh Sborz","TEX",52.1,0.31121281,0.64231738,0.46882494,0.43382353,0.78823529,0.66496164,0.47601918,18.43954248,"Josh Sborz",18323,622250
2023,"José Buttó","NYM",42,0.25925926,0.69512195,0.45429741,0.58095238,0.81578947,0.74174174,0.44747613,18.4384058,"Jose Butto",23313,676130
2023,"Karl Kauffmann","COL",35,0.24290221,0.69433962,0.44845361,0.68831169,0.89130435,0.83141762,0.45532646,18.43571429,"Karl Kauffmann",27488,666154
2023,"Gavin Hollowell","COL",33.2,0.23674912,0.65443425,0.46065574,0.65671642,0.79906542,0.76512456,0.53606557,18.43449782,"Gavin Hollowell",25427,668970
2024,"Trevor Richards","- - -",65.1,0.29487179,0.60213144,0.44060657,0.63043478,0.87315634,0.78776291,0.47430497,18.43396226,"Trevor Richards",19309,670950
2023,"A.J. Puk","MIA",56.2,0.29854369,0.62081784,0.48105263,0.43902439,0.7754491,0.68490153,0.56631579,18.43162393,"A.J. Puk",19343,640462
2024,"Jonathan Hernández","- - -",43.1,0.28604651,0.70392749,0.46780552,0.53658537,0.81545064,0.71910112,0.43495401,18.42957746,"Jonathan Hernandez",17464,642546
2024,"Tyler Glasnow","LAD",134,0.28977871,0.65692743,0.48358209,0.41090909,0.83500717,0.71502058,0.5278607,18.425,"Tyler Glasnow",14374,607192
