Season,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
2021,"Kyle Gibson","- - -",182,0.12599792,,0.14960083,,,0.34015967,0.16174939,0.08885804,,,0.13363415,,,,"Kyle Gibson",10123,502043
2021,"Brad Boxberger","MIL",64.2,0.55959032,,,,,,0.23836127,,,,0.20204842,,,,"Brad Boxberger",10133,502202
2021,"Aroldis Chapman","NYY",56.1,0.56573705,,,0.11055777,,0.05677291,0.26693227,,,,,,,,"Aroldis Chapman",10233,547973
2021,"Ryan Tepera","- - -",61.1,0.33298319,,,,,0.10714286,0.44852941,0.0052521,,,0.10609244,,,,"Ryan Tepera",10291,572193
2021,"Zack Wheeler","PHI",213.1,0.42428973,,0.25007805,0.00031221,,0.18295348,,0.10615048,,,0.03621605,,,,"Zack Wheeler",10310,554430
2021,"Juan Minaya","MIN",40,0.51441578,,,,,,0.03641882,,,,0.4491654,,,,"Juan Minaya",10341,573668
2021,"Aaron Loup","NYM",56.2,,,0.32893157,,,0.51860744,,0.06602641,,,0.08643457,,,,"Aaron Loup",10343,571901
2021,"Mychal Givens","- - -",51,0.46735395,,,,,,0.15693013,,,,0.37571592,,,,"Mychal Givens",10430,571710
2021,"Chris Sale","BOS",42.2,0.47554348,,,,,0.01358696,0.31521739,,,,0.19565217,,,,"Chris Sale",10603,519242
2021,"Mike Foltynewicz","TEX",139,0.29382826,,,,,0.21779964,0.23703041,0.12477639,,,0.1265653,,,,"Mike Foltynewicz",10811,592314
2021,"Chasen Shreve","PIT",56.1,0.4017094,,,0.36858974,,0.00106838,0.22863248,,,,,,,,"Chasen Shreve",10855,592741
2021,"Jacob deGrom","NYM",92,0.57422512,,,,,,0.33360522,0.00326264,,,0.08890701,,,,"Jacob deGrom",10954,594798
2021,"Merrill Kelly","ARI",158,0.31958763,,0.1414433,,,0.1843299,,0.18061856,,,0.17402062,,,,"Merrill Kelly",11156,518876
2021,"Vince Velasquez","- - -",94.1,0.49942857,,,,,0.044,0.13771429,,0.16628571,,0.15257143,,,,"Vince Velasquez",11189,592826
2021,"Casey Sadler","SEA",40.1,0.00344234,,0.40791738,,,0.27022375,,0.31497418,,,0.00344234,,,,"Casey Sadler",11209,594987
2021,"Jose Quintana","- - -",63,0.40806452,,,,,0.17822581,,0.26774194,,,0.14596774,,,,"Jose Quintana",11423,500779
2021,"Robbie Ray","TOR",193.1,0.59248647,,,,,0.00254696,0.30818211,,0.06080866,,0.0359758,,,,"Robbie Ray",11486,592662
2021,"Joely Rodríguez","- - -",46.1,0.15768725,,,,,0.42969777,0.03810775,,,,0.37450723,,,,"Joely Rodriguez",11487,570257
2021,"Aaron Sanchez","SFG",35.1,0.18655462,,,,,0.30588235,,0.30588235,,,0.20168067,,,,"Aaron Sanchez",11490,592717
2021,"José Ureña","DET",100.2,0.16056671,,,,,0.47284534,0.23022432,,,,0.13636364,,,,"Jose Urena",11589,570632
2021,"Heath Hembree","- - -",58,0.52293578,,,,,,0.47247706,0.00458716,,,,,,,"Heath Hembree",11632,592390
2021,"Jameson Taillon","NYY",144.1,0.49620573,,0.05775717,,,0.05438449,0.14165261,0.19139966,,,0.05860034,,,,"Jameson Taillon",11674,592791
2021,"Carlos Martinez","STL",82.1,0.275,,0.21328125,,,0.13828125,0.228125,0.0109375,,,0.134375,,,,"Carlos Martinez",11682,593372
2021,"Matt Harvey","BAL",127.2,0.34050179,,,,,0.2078853,0.19310036,0.13978495,,,0.1187276,,,,"Matt Harvey",11713,518774
2021,"Luke Jackson","ATL",63.2,0.3563981,,,,,,0.51753555,0.12606635,,,,,,,"Luke Jackson",11752,592426
2021,"Drew Smyly","ATL",126.2,0.01543499,,0.1150608,,,0.44995323,,0.01403181,0.40551918,,,,,,"Drew Smyly",11760,592767
2021,"Hansel Robles","- - -",69,0.55105485,,,,,0.00675105,0.1443038,0.00084388,,,0.29704641,,,,"Hansel Robles",11801,570663
2021,"Héctor Neris","PHI",74.1,0.36604988,,,0.40627514,,0.19227675,0.03539823,,,,,,,,"Hector Neris",11804,593576
2021,"Taijuan Walker","NYM",159,0.35425657,,0.00666928,0.14319341,,0.21734013,0.2051785,0.0733621,,,,,,,"Taijuan Walker",11836,592836
2021,"Chris Martin","ATL",43.1,0.39090909,,0.18484848,0.12424242,,0.14090909,0.08030303,0.07878788,,,,,,,"Chris Martin",11847,455119
2021,"Matt Andriese","- - -",48.1,0.43859649,,0.05146199,,,0.04444444,,0.12631579,,,0.33918129,,,,"Matt Andriese",12022,542882
2021,"Kyle Hendricks","CHC",181,0.17835529,,,,,0.42755429,,0.11712353,,,0.27696689,,,,"Kyle Hendricks",12049,543294
2021,"Yimi García","- - -",57.2,0.39088983,,,,,0.0625,0.30084746,0.18220339,,,0.06355932,,,,"Yimi Garcia",12095,554340
2021,"Domingo Tapia","- - -",33.2,0.15,,0.01538462,,,0.58076923,0.19230769,,,,0.06153846,,,,"Domingo Tapia",12178,593619
2021,"Dan Winkler","CHC",39.2,0.2,,0.66329114,,,0.06329114,,0.07088608,,,0.00253165,,,,"Dan Winkler",12237,595465
2021,"Chris Bassitt","OAK",157.1,0.19277614,,0.18059639,,,0.35699286,0.10289794,0.06467871,,,0.10205796,,,,"Chris Bassitt",12304,605135
2021,"Spencer Patton","TEX",42.1,0.56453901,,,0.09503546,,0.00425532,0.33617021,,,,,,,,"Spencer Patton",12361,607359
2021,"Seth Lugo","NYM",46.1,0.29041096,,,,,0.24931507,0.14383562,0.28493151,,,0.03150685,,,,"Seth Lugo",12447,607625
2021,"Blake Treinen","LAD",72.1,0.07488584,,0.29954338,,,0.2739726,0.35068493,,,,0.00091324,,,,"Blake Treinen",12572,595014
2021,"Ryne Harper","WSN",35.2,0.21869489,,,,,,0.15520282,0.52557319,0.1005291,,,,,,"Ryne Harper",12680,607560
