Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2021,"Richard Bleier","MIA",58,6.876928117540148,,0.4255124937813237,,,9.636350224933354,-2.934112548828125,,,,10.341528998480904,,,"Richard Bleier",7803,542947
2021,"Hunter Strickland","- - -",58.2,-2.8723614125792123,,,,,-8.489493102358098,4.774957275390625,,,,-8.618284316289992,,,"Hunter Strickland",7836,519326
2021,"Anthony Bass","MIA",61.1,-3.8437580768376183,,,-4.383749008178711,,-7.938868826194515,2.1248521326976926,,,,,,,"Anthony Bass",7982,542914
2021,"Will Smith","ATL",68,4.463017482383578,,,,,,-2.6444970374684695,-4.550980234533791,,,,,,"Will Smith",8048,519293
2021,"Bryan Shaw","CLE",77.1,-6.844068254743304,,1.7766859902673546,,,-6.849934895833333,7.159676216744088,2.9536036956004605,,,-5.888234105603448,,,"Bryan Shaw",8110,543766
2021,"Brett Anderson","MIL",96,4.504007975260417,,0.06397595056673376,,,8.624235482828656,-1.7140696389334542,,-3.0189475432265227,,8.157299110747738,,,"Brett Anderson",8223,474463
2021,"Paolo Espino","WSN",109.2,-2.3419674685792793,,-1.5330159664154053,,,-8.956914901733398,9.76004424513432,7.0370715361026575,,,-7.226090122276629,,,"Paolo Espino",8246,502179
2021,"Lucas Luetge","NYY",72.1,1.2306402921676636,,-2.522240165573159,,,,-4.84498762473082,-6.954403831845238,,,,,,"Lucas Luetge",8337,476595
2021,"Deolis Guerra","OAK",65.2,-7.399984322342218,,,,,-9.762192127316498,1.0330591573343648,4.922204111136642,,,-7.825795491536458,,,"Deolis Guerra",8410,500610
2021,"Wade Miley","CIN",163,2.1284574023901426,,-1.6428310716923196,,,8.235389463363155,-5.811849400617074,-5.174384901258681,0.6004562377929688,,8.89848598182624,,,"Wade Miley",8779,489119
2021,"César Valdez","BAL",46,-9.146119088837594,,,,,-10.508578670726102,3.5473480224609375,,,,-6.002505563133818,,,"Cesar Valdez",9013,491624
2021,"Brad Hand","- - -",64.2,7.729599448829011,,,,,10.757120423397776,-8.81830806815468,,,,,,,"Brad Hand",9111,543272
2021,"Nathan Eovaldi","BOS",182.1,-7.663756189369442,,-0.37495625537374744,-6.88259073344845,,,2.6649922992459576,4.9929648366347905,,,,,,"Nathan Eovaldi",9132,543135
2021,"Patrick Corbin","WSN",171.2,5.336053129021879,,,,,8.585369628274579,-1.217612023164284,-1.4524163466233473,,,6.470936742322198,,,"Patrick Corbin",9323,571578
2021,"Josh Tomlin","ATL",49.1,-3.7499486902257897,,1.5734182442892881,,,,,1.9587212427491283,,,-8.149177551269531,,,"Josh Tomlin",9388,458708
