Season,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
2021,"Pete Fairbanks","TBR",42.2,97.11614524943946,,,,,,85.6739239838957,,,,94.0999984741211,,,"Pete Fairbanks",17998,664126
2021,"Triston McKenzie","CLE",120,92.06628648290095,,,,,,86.38015876245247,79.3497191011236,,,86.06363608620383,,,"Triston McKenzie",18000,663474
2021,"Phil Maton","- - -",66.2,91.50946643717728,,88.02716177481192,,,,82.07631492614746,76.0249965828909,,,,,,"Phil Maton",18064,664208
2021,"Ryan Helsley","STL",47.1,97.36781609195403,,,,,97.53571428571429,88.19641857078852,78.9854580965909,,,87.42727383700284,,,"Ryan Helsley",18138,664854
2021,"Anthony Misiewicz","SEA",54.2,94.30880257468553,,88.55980066445183,,,,81.30000305175781,80.67545930631869,,,,,,"Anthony Misiewicz",18152,664948
2021,"Jarlín García","SFG",68.2,93.14092128243513,,,,,,82.47293964460785,,,,85.1869918699187,,,"Jarlin Garcia",18282,606424
2021,"Tyler Kinley","COL",70.1,95.91524549034553,,,,,96.375,90.28053560192953,86,,,87.43617021276596,,,"Tyler Kinley",18297,641755
2021,"Josh Sborz","TEX",59,96.73469387755102,,,,,,87.98675325315457,83.26379534841954,,,,,,"Josh Sborz",18323,622250
2021,"Taylor Hearn","TEX",104.1,95.12615867490614,,89.63333129882812,,,93.86033273071625,84.33662733920785,,,,86.97695852534562,,,"Taylor Hearn",18325,621368
2021,"James Kaprielian","OAK",119.1,93.00982500438494,,,,,92.35737384733606,85.25114397321428,77.96319243074194,,,83.77593612670898,,,"James Kaprielian",18331,621076
2021,"Alex Young","- - -",52,91.46929210752953,,86.26407956614078,,,89.55861795359644,,82.28323981665463,,,85.34138155531609,,,"Alex Young",18333,622065
2021,"Josh Staumont","KCR",65.2,96.53194696576763,,,,,96.7457264957265,,81.29315892269737,,,,,,"Josh Staumont",18335,622251
2021,"Jaime Barria","LAA",56.2,93.1477490674268,,,,,92.59479994580924,85.80059997193113,,,,85.83766630098417,,,"Jaime Barria",18356,642545
2021,"Enyel De Los Santos","- - -",35.1,94.8459150206368,,,,,,82.24965000819493,,,,87.36623630275975,,,"Enyel De Los Santos",18403,660853
