Season,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
2021,"Brett Anderson","MIL",96,7.745757208930121,,5.623315826664126,,,5.898609516363552,-2.7097151620047435,,-6.927001333478744,,4.651725512758398,,,"Brett Anderson",8223,474463
2021,"Paolo Espino","WSN",109.2,11.120859771315686,,4.431737422943115,,,3.336204767227173,1.1769844724420915,-11.124765862761654,,,2.7790612771477496,,,"Paolo Espino",8246,502179
2021,"Lucas Luetge","NYY",72.1,6.6110358238220215,,4.36118670662142,,,,-0.7620482182764745,-8.624883137052022,,,,,,"Lucas Luetge",8337,476595
2021,"Deolis Guerra","OAK",65.2,10.289663277420344,,,,,8.292513825172602,4.8040398932122566,-7.871775907628677,,,4.121446881975446,,,"Deolis Guerra",8410,500610
2021,"Wade Miley","CIN",163,9.797498979364608,,4.298871446802446,,,7.428032659715222,2.4966497006623642,-4.568430582682292,6.915133953094482,,4.283455230496454,,,"Wade Miley",8779,489119
2021,"César Valdez","BAL",46,5.8369464296283144,,,,,-1.0047588572782629,-2.3092330541366186,,,,-3.2644551056823192,,,"Cesar Valdez",9013,491624
2021,"Brad Hand","- - -",64.2,9.049928695436508,,,,,5.583035226595604,-1.3764468696960717,,,,,,,"Brad Hand",9111,543272
2021,"Nathan Eovaldi","BOS",182.1,8.357085564874696,,6.827839726987093,1.2620592965591306,,,1.4399365477300996,-5.961664140767304,,,,,,"Nathan Eovaldi",9132,543135
2021,"Patrick Corbin","WSN",171.2,8.912132626488095,,,,,7.743291028258409,0.6966185831167296,-0.9873950664813702,,,7.727181796369882,,,"Patrick Corbin",9323,571578
2021,"Josh Tomlin","ATL",49.1,10.7425047486693,,6.379406065452756,,,,,-3.636027978725188,,,6.1957041422526045,,,"Josh Tomlin",9388,458708
2021,"Dallas Keuchel","CHW",162,8.438192170241784,,4.758543864790216,,,3.333150429739495,0.4931353951493899,,,,3.2105901566140145,,,"Dallas Keuchel",9434,572971
2021,"Joe Kelly","LAD",44,6.251005415482955,,,,,5.898768907912234,,,-5.447468810438721,,3.3771922235903533,,,"Joe Kelly",9761,523260
2021,"Garrett Richards","BOS",136.2,5.088976665607934,,,,,6.553529996138352,-0.9836386318864494,-11.125952429805242,-10.657106399536133,,3.296042823791504,,,"Garrett Richards",9784,572070
2021,"Rex Brothers","CHC",53,10.027999761450381,,,,,2.7632040977478027,1.2199982931447584,,,,,,,"Rex Brothers",9794,571521
2021,"Miles Mikolas","STL",44.2,8.085094695395611,,,,,6.9505336431809415,2.3622230278266656,-8.6489052734375,-7.406736373901367,,5.275521072686887,,,"Miles Mikolas",9803,571945
2021,"Sergio Romo","OAK",61.2,6.666097731817336,,,,,2.3594881110235093,4.412227873547763,,,,2.49083107396176,,,"Sergio Romo",9817,489265
2021,"Mike Minor","KCR",158.2,8.451301445625557,,,,,7.244609832763672,1.2253938844690773,,-6.799015834093674,,6.876319216008772,,,"Mike Minor",10021,501985
2021,"Tyler Matzek","ATL",63,10.631032510582669,,,,,,-3.3356944264231863,-7.835408528645833,,,,,,"Tyler Matzek",10058,554431
2021,"Brooks Raley","HOU",49,8.578978491611169,,4.075098092215402,,,4.080988527254294,2.1262160270444808,-3.3410396575927734,,,2.708011511600379,,,"Brooks Raley",10061,548384
2021,"Caleb Thielbar","MIN",64,11.239774922163285,,,,,,0.8626579686215049,-9.501671685112846,-10.446083068847656,,8.953514099121094,,,"Caleb Thielbar",10078,573204
2021,"Kyle Gibson","- - -",182,9.66172794730867,,4.98871548823027,,,4.841541835239956,-0.10885901614831753,-4.446639373898506,,,2.738764725722276,,,"Kyle Gibson",10123,502043
2021,"Brad Boxberger","MIL",64.2,9.978204457414725,,,,,,3.9055469036102295,,,,2.8945557203161,,,"Brad Boxberger",10133,502202
2021,"Aroldis Chapman","NYY",56.1,10.779808366802376,,,-1.0953901823576506,,9.729751319216009,1.6690608921335703,,,,,,,"Aroldis Chapman",10233,547973
2021,"Ryan Tepera","- - -",61.1,9.96068989365635,,,,,7.689802543789733,2.7699788649690795,-2.1473873138427733,,,3.4177739360544943,,,"Ryan Tepera",10291,572193
2021,"Zack Wheeler","PHI",213.1,9.333145781594922,,3.5608178375663235,7.091830730438232,,6.792080094789889,,-6.421247414981617,,,5.981346919618804,,,"Zack Wheeler",10310,554430
2021,"Juan Minaya","MIN",40,8.33193546621497,,,,,,0.8328856627146403,,,,-0.09136838526339144,,,"Juan Minaya",10341,573668
2021,"Aaron Loup","NYM",56.2,,,0.5376424423969575,,,2.027449100105851,,0.13626779209483753,,,-1.9358990788459778,,,"Aaron Loup",10343,571901
2021,"Mychal Givens","- - -",51,6.954670027190564,,,,,,2.0231689675881044,,,,-1.480150687985304,,,"Mychal Givens",10430,571710
2021,"Chris Sale","BOS",42.2,6.923455636160714,,,,,2.056998062133789,-2.629602366480334,,,,0.9764020707872179,,,"Chris Sale",10603,519242
2021,"Mike Foltynewicz","TEX",139,8.962953402027148,,,,,6.56796327312869,1.2951941004339254,0.5405051528766591,,,7.011947119615103,,,"Mike Foltynewicz",10811,592314
2021,"Chasen Shreve","PIT",56.1,10.01100191156915,,,2.265203415138134,,4.2003655433654785,-2.7754624981746496,,,,,,,"Chasen Shreve",10855,592741
2021,"Jacob deGrom","NYM",92,9.581125432794744,,,,,,2.3204468071897923,-2.6694860458374023,,,1.9314829975093177,,,"Jacob deGrom",10954,594798
2021,"Merrill Kelly","ARI",158,9.191942414314516,,7.486997198432944,,,5.323815126013702,,-5.529635773401827,,,3.652483176281102,,,"Merrill Kelly",11156,518876
2021,"Vince Velasquez","- - -",94.1,10.689445862235411,,,,,7.998578802331702,1.9511622274565004,,-6.108511488871886,,4.567634239625395,,,"Vince Velasquez",11189,592826
2021,"Casey Sadler","SEA",40.1,8.629426956176758,,3.2166042408359705,,,5.364953691033041,,-5.600771377646858,,,5.237188339233398,,,"Casey Sadler",11209,594987
2021,"Jose Quintana","- - -",63,9.654379742890008,,,,,9.25375890947575,,-2.708944941141519,,,5.139145318974448,,,"Jose Quintana",11423,500779
2021,"Robbie Ray","TOR",193.1,10.099694384739388,,,,,8.69206714630127,4.574477518885589,,0.32126447667626185,,8.026302371404867,,,"Robbie Ray",11486,592662
2021,"Joely Rodríguez","- - -",46.1,6.717225392659505,,,,,3.649285459372611,0.003884340154713598,,,,0.4747890204714056,,,"Joely Rodriguez",11487,570257
2021,"Aaron Sanchez","SFG",35.1,7.805256474125493,,,,,5.677283150809152,,-6.626274276565719,,,3.4504205703735353,,,"Aaron Sanchez",11490,592717
2021,"José Ureña","DET",100.2,8.290529812083525,,,,,4.509562479273955,3.6799014360476763,,,,5.88007318405878,,,"Jose Urena",11589,570632
2021,"Heath Hembree","- - -",58,10.370419365063048,,,,,,4.434900731947816,-4.951971817016601,,,,,,"Heath Hembree",11632,592390
2021,"Jameson Taillon","NYY",144.1,10.428212284940527,,4.681538157219435,,,8.716795928718508,3.5776839483351934,-6.883512118839483,,,6.829764606283723,,,"Jameson Taillon",11674,592791
2021,"Carlos Martinez","STL",82.1,7.004746176979759,,5.2464304494333796,,,1.7372005484198447,0.7614690702255458,-0.4150669574737549,,,-1.0234738726948582,,,"Carlos Martinez",11682,593372
2021,"Matt Harvey","BAL",127.2,8.646883994654605,,,,,7.721561826508621,3.9953596287703017,-3.5296693459535255,,,6.89230588517099,,,"Matt Harvey",11713,518774
2021,"Luke Jackson","ATL",63.2,10.46237312479222,,,,,,-2.640929952209249,-6.5528211091694075,,,,,,"Luke Jackson",11752,592426
2021,"Drew Smyly","ATL",126.2,11.467878861860795,,6.815575731479056,,,10.786036120630847,,-0.787999979654948,0.3702223622675173,,,,,"Drew Smyly",11760,592767
2021,"Hansel Robles","- - -",69,9.457016668860069,,,,,8.905667066574097,2.9552263404890806,-0.09051306545734406,,,4.594598163257945,,,"Hansel Robles",11801,570663
2021,"Héctor Neris","PHI",74.1,9.331656722184066,,,0.6968162612159653,,6.381831340709989,3.446472861550071,,,,,,,"Hector Neris",11804,593576
2021,"Taijuan Walker","NYM",159,10.243963298607506,,4.132017247817096,4.343789798266267,,7.8747111847254345,3.692399121607239,-6.9687639022255965,,,,,,"Taijuan Walker",11836,592836
2021,"Chris Martin","ATL",43.1,8.635980650436046,,3.381353909852075,2.4114415238543256,,6.78399658203125,-2.3075267863723465,-4.157461899977464,,,,,,"Chris Martin",11847,455119
2021,"Matt Andriese","- - -",48.1,10.1369296875,,1.8313507762822239,,,3.85919852005808,,-7.86899651421441,,,0.9799624278627593,,,"Matt Andriese",12022,542882
2021,"Kyle Hendricks","CHC",181,8.872785678642714,,,,,5.404200519749168,,-6.7417882670022795,,,6.287804140223329,,,"Kyle Hendricks",12049,543294
2021,"Yimi García","- - -",57.2,7.151822221957572,,,,,3.268792297880528,3.4457579062018597,-1.8135121367698492,,,1.3533459345499674,,,"Yimi Garcia",12095,554340
2021,"Domingo Tapia","- - -",33.2,9.057271517240084,,3.7052319049835205,,,5.419272163845846,0.11636731624603272,,,,7.347133651375771,,,"Domingo Tapia",12178,593619
2021,"Dan Winkler","CHC",39.2,9.930180416831487,,6.88726666865458,,,6.545421752929688,,-1.804424558367048,,,6.287296295166016,,,"Dan Winkler",12237,595465
2021,"Chris Bassitt","OAK",157.1,8.299650969328704,,5.351594862827035,,,6.003570197610294,0.2815811468630421,-7.995060908329951,,,4.555466640142747,,,"Chris Bassitt",12304,605135
2021,"Spencer Patton","TEX",42.1,8.99771562892588,,,4.16199413698111,,7.997477213541667,-0.9287929615390955,,,,,,,"Spencer Patton",12361,607359
2021,"Seth Lugo","NYM",46.1,10.02120683778007,,,,,6.852694668612638,3.8531584240141368,-9.955119206355167,,,4.49413133704144,,,"Seth Lugo",12447,607625
2021,"Blake Treinen","LAD",72.1,7.6539113114519814,,5.024038547422828,,,3.92300048828125,0.11591097712516785,,,,3.2712647914886475,,,"Blake Treinen",12572,595014
2021,"Ryne Harper","WSN",35.2,6.5136349585748485,,,,,,1.3086318102749912,-3.844518059852139,-7.5687705592105265,,,,,"Ryne Harper",12680,607560
2021,"Trevor Bauer","LAD",107.2,11.773913506023044,,0.3345660669198308,,,8.806123553581958,-1.3626397374164627,,-11.04410888671875,,4.260026647689495,,,"Trevor Bauer",12703,545333
2021,"Adrian Houser","MIL",142.1,9.045515084568459,,,,,4.823644267439278,2.064244066762645,-7.133696606878698,,,4.543258754686377,,,"Adrian Houser",12718,605288
2021,"Rafael Montero","- - -",49.1,8.110641430110993,,,,,4.909129184959209,1.7708405150464301,,,,2.6757289635207124,,,"Rafael Montero",12760,606160
2021,"Sonny Gray","CIN",135.1,8.878297280365565,,1.075347206809304,,,5.6261044635978426,-2.816821779523577,-7.816194016862624,-7.782207142223012,,5.413683504671664,,,"Sonny Gray",12768,543243
2021,"Burch Smith","OAK",43.1,9.871824603519807,,0.27123889327049255,,,,-0.10232183337211609,-7.78727232735112,,,8.224633921747623,,,"Burch Smith",12784,572143
2021,"Noé Ramirez","- - -",36,6.549882458102319,,,,,,,-0.05900666070362878,,,-1.3198554198865946,,,"Noe Ramirez",12800,598287
2021,"Matt Wisler","- - -",48.2,10.240442487928602,,,,,,-0.10100840321787588,,,,,,,"Matt Wisler",12804,605538
2021,"Andrew Kittredge","TBR",71.2,7.714316734900842,,,,,6.298612029464157,0.8689726717585097,,,,3.863804817199707,,,"Andrew Kittredge",12828,552640
2021,"Shawn Armstrong","- - -",36,9.546045763739224,,3.0017705596653763,,,,-1.0199589787459955,,,,,,,"Shawn Armstrong",12857,542888
2021,"Matt Barnes","BOS",54.2,10.31099677606441,,,,,,,,-5.266317371839888,,4.77629280090332,,,"Matt Barnes",12863,598264
2021,"Tyler Anderson","- - -",167,10.641403936824151,,5.7904027602251835,,,4.010901809181866,2.1764163970947266,-2.9225960969924927,-8.634138107299805,,8.004891382178725,,,"Tyler Anderson",12880,542881
2021,"Alex Claudio","LAA",32.2,3.1277589343843006,,,,,-2.215807558885261,0.3623502479409272,,,,-0.23559626332529776,,,"Alex Claudio",12890,592222
2021,"Dylan Bundy","LAA",90.2,11.344280666775173,,,,,9.675752763059203,-1.3086027062457541,-7.792918608738826,,,5.002877586766293,,,"Dylan Bundy",12917,605164
2021,"Archie Bradley","PHI",51,9.644951557062065,,,,,8.003703356877853,,,-6.268315241887019,,5.104171276092529,,,"Archie Bradley",12918,605151
2021,"Joe Musgrove","SDP",181.1,7.617043678884331,,5.072006011677679,,,4.166948527495066,-0.4717538425443219,-7.500045514038436,,,3.00821027621417,,,"Joe Musgrove",12970,605397
2021,"Joe Ross","WSN",108,8.31302700323217,,,,,6.156347698635525,1.5557085894104232,,,,4.965825209250817,,,"Joe Ross",12972,605452
2021,"Andrew Chafin","- - -",68.2,9.72566397530692,,,,,8.040081317608173,-0.5210972747802735,,,,9.4396390914917,,,"Andrew Chafin",12988,605177
2021,"Anthony DeSclafani","SFG",167.2,9.401386944544798,,,,,6.577912080712788,2.787184783166758,,-3.297847160926232,,2.9414829994315532,,,"Anthony DeSclafani",13050,543101
2021,"Yu Darvish","SDP",166.1,11.206886042177288,,7.575372314453125,4.249558738425926,,7.705004240337171,0.061588986757379637,-9.079440860297737,-6.989491115106601,,,,,"Yu Darvish",13074,506433
2021,"Gerrit Cole","NYY",181.1,10.492578125,,,,,8.402505874633789,0.5662267566269916,,-6.693095283098118,,6.047035634092934,,,"Gerrit Cole",13125,543037
2021,"Eduardo Rodriguez","BOS",157.2,8.459582571597661,,5.032570037604367,,,6.008667795281661,-2.0073536265980114,,,,4.002791719573537,,,"Eduardo Rodriguez",13164,593958
2021,"Zach Davies","CHC",148,7.9944840494791665,,7.219325114771263,,,7.361323533013323,-0.13668805758158367,-5.822984407733938,,,4.692252584744183,,,"Zach Davies",13183,605200
2021,"Michael Fulmer","DET",69.2,9.646875501254906,,3.911031052402165,,,7.875042451317631,2.2559319632393975,-4.185364193386501,,,3.482052931145056,,,"Michael Fulmer",13218,605242
2021,"Louis Head","TBR",35,9.66008134321733,,,,,,-1.590897051740713,,,,1.7493187586466472,,,"Louis Head",13259,545343
2021,"Ross Stripling","TOR",101.1,10.888374017753202,,,,,,4.126106409872732,,-6.530934278569166,,6.562541281530099,,,"Ross Stripling",13273,548389
2021,"Danny Coulombe","MIN",34.1,8.763309165612975,,,,,6.586541539146786,2.8867475148793815,-9.489999559190538,-9.770026660356365,,,,,"Danny Coulombe",13293,543056
